Report on the BioLiP file

Number of proteins without metal ligands: 24013
Ligand;Size;Num of occurrences
"7T8";15;1
"7TS";12;1
"7U8";14;1
"7UC";4;1
"7UC";5;1
"7UI";9;1
"7UX";15;1
"7UX";16;1
"7UZ";10;1
"7V7";5;1
"7V7";7;1
"7VD";10;1
"7VJ";9;1
"7VR";18;1
"7WL";16;1
"7X9";3;1
"7X9";6;1
"7X9";8;1
"7XL";20;1
"7XO";4;1
"7XY";12;1
"7XY";21;1
"7Y3";9;1
"7Y3";11;1
"7Y9";16;1
"7YN";10;2
"7YS";18;1
"7YU";16;1
"7YV";3;2
"7ZE";6;1
"7ZQ";13;1
"7ZU";14;1
"805";2;1
"805";5;1
"80F";33;1
"80P";11;1
"80S";12;1
"80V";14;1
"819";14;1
"81D";16;1
"81E";16;1
"81I";25;1
"81K";11;1
"824";16;2
"82H";24;1
"82Q";10;1
"82U";13;1
"82W";8;1
"836";20;1
"83B";5;1
"83G";15;1
"83M";18;1
"84J";13;1
"84M";16;1
"84Q";2;1
"84Q";8;1
"84T";21;1
"85F";17;1
"85I";2;1
"85I";3;1
"85I";7;1
"85I";8;1
"85I";9;1
"85I";19;1
"85N";3;1
"85N";5;3
"85N";6;1
"85N";8;1
"85R";17;1
"85S";16;1
"869";17;1
"86G";15;1
"86I";11;1
"875";10;2
"88Q";3;1
"88T";2;1
"89A";8;1
"89F";13;1
"89F";16;1
"8AC";5;2
"8AC";6;1
"8AJ";5;1
"8AJ";6;1
"8AR";10;1
"8B6";13;1
"8B8";17;1
"8BR";7;1
"8BR";15;1
"8CS";2;1
"8CS";4;1
"8CS";8;1
"8CT";2;15
"8CT";3;11
"8CT";4;8
"8CT";5;11
"8CT";6;5
"8CT";7;7
"8CT";8;3
"8CT";9;3
"8CT";10;1
"8D6";12;1
"8DG";12;1
"8DZ";20;1
"8EH";13;1
"8EL";6;1
"8EL";17;1
"8ES";20;1
"8ES";21;1
"8EU";9;1
"8EZ";8;1
"8FK";8;1
"8FT";13;1
"8GA";10;1
"8GF";3;1
"8GG";11;1
"8GI";15;1
"8GT";6;1
"8H6";15;1
"8HC";9;1
"8HG";6;1
"8HG";11;1
"8HG";12;1
"8HG";14;1
"8HZ";11;1
"8I4";12;1
"8I8";25;1
"8IF";17;1
"8IG";9;1
"8IO";16;1
"8IX";8;1
"8IZ";13;1
"8J6";16;1
"8JD";2;1
"8JU";12;1
"8JY";5;1
"8JZ";4;1
"8K1";20;1
"8K3";11;1
"8K3";12;1
"8K6";2;9
"8K6";3;7
"8K6";4;1
"8K6";5;1
"8K6";6;1
"8K8";15;1
"8KS";13;1
"8L9";9;1
"8LC";11;1
"8LE";16;1
"8LK";12;1
"8M0";3;1
"8M0";4;2
"8M0";14;1
"8MF";13;1
"8MM";12;1
"8MO";11;1
"8N1";5;1
"8N1";9;1
"8ND";23;1
"8NE";9;1
"8NK";10;1
"8NL";18;1
"8NO";15;1
"8NU";18;1
"8OG";6;1
"8PK";3;1
"8PK";4;1
"8PP";2;1
"8PP";16;1
"8PP";31;1
"8PR";15;1
"8PV";17;1
"8PZ";21;1
"8Q1";2;4
"8Q1";3;2
"8Q1";13;3
"8Q1";15;3
"8Q1";19;1
"8QQ";17;1
"8QX";15;1
"8RQ";25;1
"8RU";10;1
"8S0";7;1
"8S1";7;1
"8SK";9;1
"8ST";17;1
"8SW";14;1
"8SW";16;1
"8TF";2;1
"8TL";10;1
"8TR";4;1
"8TU";2;1
"8TZ";15;1
"8U8";10;1
"8U8";15;1
"8UX";11;1
"8UY";11;1
"8VR";14;1
"8VV";3;1
"8W7";10;1
"8W9";5;1
"8WF";4;1
"8WG";12;1
"8WG";13;1
"8WK";17;1
"8X3";6;1
"8X3";10;2
"8X7";16;1
"8X9";13;1
"8Y1";4;1
"8Y1";10;1
"8YC";14;1
"8YI";12;1
"8YP";9;1
"8YX";4;1
"8Z2";21;1
"8Z4";12;1
"8Z6";6;1
"8Z9";4;1
"8Z9";8;1
"90F";12;1
"90V";14;1
"919";21;1
"919";24;1
"91Q";7;1
"928";2;1
"92N";12;1
"94A";16;1
"94L";15;1
"94M";12;1
"94Q";34;1
"94R";2;2
"94R";4;1
"94R";5;1
"94R";6;1
"952";14;1
"95B";12;1
"95C";9;1
"95E";5;1
"95E";7;1
"95E";9;2
"95K";17;1
"95N";17;2
"95Q";16;1
"95T";10;1
"95U";13;1
"95W";11;1
"95W";16;2
"962";5;1
"962";6;1
"965";23;1
"969";12;1
"96E";7;3
"96G";13;1
"96K";8;1
"96K";9;1
"96N";12;1
"96V";10;1
"973";14;1
"97M";6;1
"97N";2;1
"97N";5;1
"97N";6;1
"97N";7;2
"97N";10;1
"97N";14;1
"97V";9;1
"97Y";10;1
"97Y";13;1
"988";14;1
"98R";4;1
"98R";6;1
"98R";7;1
"98R";8;1
"9A4";7;1
"9A7";6;1
"9AF";22;1
"9AO";21;1
"9AP";4;1
"9AP";6;1
"9AU";9;1
"9B4";5;1
"9BE";7;1
"9BG";8;1
"9BG";9;1
"9BG";11;2
"9BG";12;1
"9BJ";12;1
"9C2";17;1
"9CR";11;1
"9CR";12;1
"9CR";13;2
"9CS";7;1
"9CS";15;1
"9CU";14;1
"9D2";5;1
"9D6";14;1
"9D7";19;1
"9DA";8;1
"9DA";13;1
"9DF";6;1
"9DF";9;1
"9DG";8;1
"9DJ";14;1
"9E0";11;1
"9E1";20;1
"9EC";15;1
"9EF";2;2
"9EF";3;2
"9EF";10;1
"9EF";11;1
"9EF";13;1
"9EG";12;1
"9EG";14;1
"9EG";16;1
"9EP";12;1
"9ER";17;1
"9EU";16;2
"9F3";5;1
"9F3";10;1
"9F6";4;1
"9FO";5;1
"9FO";9;1
"9FO";10;1
"9FR";17;1
"9GF";12;1
"9GF";16;1
"9H8";8;1
"9HX";11;1
"9IM";10;1
"9IV";14;1
"9JE";2;3
"9JE";3;6
"9JE";4;1
"9JE";5;1
"9JE";6;1
"9JE";7;1
"9JH";13;1
"9JU";18;1
"9JY";20;1
"9K9";6;1
"9K9";8;1
"9KH";3;1
"9KO";25;1
"9L7";24;1
"9L9";14;1
"9L9";18;1
"9LC";15;1
"9LF";9;1
"9LH";26;1
"9MR";12;1
"9NQ";15;1
"9ON";6;1
"9P2";12;1
"9P5";15;1
"9PD";3;1
"9PG";18;1
"9PI";9;1
"9PL";8;1
"9QO";14;1
"9R9";2;1
"9R9";5;1
"9RC";2;1
"9RC";9;1
"9RC";11;1
"9RH";4;1
"9RH";6;1
"9RL";9;1
"9RN";3;2
"9RN";4;1
"9RN";9;1
"9RR";12;1
"9RW";6;1
"9S8";7;1
"9S8";8;1
"9S8";9;1
"9S8";10;1
"9SL";7;1
"9SL";9;1
"9SL";11;1
"9SL";12;1
"9SL";13;1
"9ST";11;1
"9TD";20;1
"9TY";2;2
"9U8";18;1
"9UB";20;1
"9UE";5;1
"9UE";7;1
"9UO";9;2
"9UX";4;1
"9UY";13;1
"9VH";13;1
"9VU";19;1
"9WS";11;1
"9WT";15;1
"9X0";15;1
"9XB";9;1
"9XH";13;1
"9XX";4;1
"9XX";5;2
"9Y0";2;3
"9Y0";3;1
"9Y0";4;1
"9Y0";7;1
"9Y0";9;1
"9Y4";14;1
"9YF";2;5
"9YF";3;3
"9YF";4;3
"9YF";5;2
"9YF";6;1
"9YF";7;2
"9YF";8;1
"9YF";10;1
"9YL";9;1
"9YM";3;2
"9YM";14;1
"9YO";12;1
"9YR";11;1
"9YT";9;1
"9Z0";3;1
"9Z0";8;1
"9Z9";2;3
"9Z9";3;3
"9Z9";4;4
"9Z9";5;3
"9Z9";7;2
"9Z9";10;2
"9Z9";11;1
"9Z9";12;1
"9Z9";14;1
"9ZP";16;1
"A";2;2
"A0U";2;1
"A12";5;1
"A12";7;1
"A12";9;1
"A12";12;1
"A12";15;1
"A12";19;1
"A16";13;1
"A16";16;1
"A1B";11;1
"A1R";20;1
"A1U";7;1
"A1U";10;1
"A1V";16;1
"A2M";4;1
"A2P";3;1
"A2P";5;1
"A2P";8;1
"A2P";11;1
"A2P";12;2
"A2R";16;1
"A2R";22;1
"A2Y";2;1
"A3P";3;1
"A3P";4;1
"A3P";5;1
"A3P";6;1
"A3P";10;2
"A3P";13;1
"A3P";16;4
"A3P";17;9
"A3P";18;10
"A3P";20;4
"A3P";22;1
"A3R";22;1
"A3S";15;1
"A3S";16;1
"A3S";17;1
"A4G";2;1
"A4G";12;1
"A4W";11;1
"A5A";11;1
"A5A";13;1
"A5A";16;1
"A5A";19;2
"A5A";21;1
"A5G";14;1
"A5O";2;2
"A5O";3;1
"A5P";9;1
"A5P";13;1
"A6L";3;1
"A6L";4;1
"A6L";7;2
"A6L";8;2
"A6L";11;1
"A70";21;1
"A79";24;1
"A7R";20;1
"A80";12;1
"A81";4;1
"A81";5;1
"A81";7;2
"A86";2;17
"A86";3;14
"A86";4;13
"A86";5;24
"A86";6;15
"A86";7;10
"A86";8;14
"A86";9;9
"A86";10;8
"A86";11;10
"A86";12;7
"A86";13;5
"A86";14;8
"A86";15;3
"A86";16;1
"A86";18;1
"A86";19;1
"A8C";8;1
"A8F";10;1
"A8G";6;1
"A8I";13;1
"A8S";9;1
"A8S";11;3
"A8S";12;2
"A90";17;1
"A9G";13;2
"A9G";14;1
"A9H";8;1
"A9I";21;1
"A9R";12;1
"AA5";3;1
"AA5";18;1
"AA5";19;1
"AA7";14;1
"AAE";5;1
"AAE";6;1
"AAE";7;1
"AAE";11;1
"AAH";5;1
"AAL";2;2
"AAL";5;2
"AAL";6;1
"AAL";7;1
"AAL";9;1
"AAL";10;1
"AAM";23;1
"AAT";26;1
"AB0";6;1
"AB0";7;1
"ABE";3;1
"ABE";6;1
"ABF";6;1
"ABF";14;1
"ABH";12;1
"ABH";15;1
"ABL";11;1
"ABM";5;1
"ABU";2;1
"ABU";3;2
"ABU";4;3
"ABU";5;4
"ABU";6;2
"ABU";9;2
"AC1";2;2
"AC1";4;4
"AC1";5;4
"AC1";6;3
"AC1";7;1
"AC1";8;2
"AC1";9;1
"AC1";10;1
"AC1";11;5
"AC1";12;1
"AC1";13;5
"AC1";14;1
"AC1";15;3
"AC1";16;2
"AC1";18;1
"AC6";3;1
"AC8";18;1
"ACA";3;1
"ACA";7;4
"ACA";10;2
"ACD";15;1
"ACD";20;1
"ACD";21;2
"ACE";4;1
"ACI";3;2
"ACI";7;1
"ACI";8;1
"ACJ";6;1
"ACJ";16;1
"ACK";15;1
"ACN";4;2
"ACN";5;1
"ACN";6;1
"ACN";7;2
"ACO";2;4
"ACO";3;1
"ACO";6;2
"ACO";8;3
"ACO";9;2
"ACO";10;3
"ACO";11;4
"ACO";12;3
"ACO";13;6
"ACO";14;1
"ACO";15;2
"ACO";16;5
"ACO";17;3
"ACO";18;6
"ACO";19;12
"ACO";20;11
"ACO";21;10
"ACO";22;17
"ACO";23;7
"ACO";24;8
"ACO";25;3
"ACP";4;2
"ACP";6;1
"ACP";8;1
"ACP";9;4
"ACP";10;1
"ACP";11;5
"ACP";12;5
"ACP";13;4
"ACP";14;5
"ACP";15;3
"ACP";16;6
"ACP";17;4
"ACP";18;5
"ACP";19;7
"ACP";20;3
"ACP";21;1
"ACQ";22;1
"ACT";2;15
"ACT";3;14
"ACT";4;13
"ACT";5;15
"ACT";6;11
"ACT";7;6
"ACT";8;3
"ACT";9;1
"ACV";15;1
"ADA";2;5
"ADA";3;4
"ADA";4;4
"ADA";5;6
"ADA";6;10
"ADA";7;4
"ADA";8;2
"ADA";10;1
"ADA";12;2
"ADA";13;1
"ADC";15;1
"ADE";2;4
"ADE";3;2
"ADE";4;1
"ADE";5;2
"ADE";6;2
"ADE";7;4
"ADE";8;10
"ADE";9;6
"ADE";10;4
"ADE";11;4
"ADE";12;7
"ADE";13;3
"ADE";14;1
"ADH";6;1
"ADK";8;1
"ADK";9;1
"ADN";2;4
"ADN";3;1
"ADN";4;1
"ADN";5;1
"ADN";6;2
"ADN";7;1
"ADN";9;5
"ADN";10;3
"ADN";11;4
"ADN";12;5
"ADN";13;2
"ADN";14;10
"ADN";15;5
"ADN";16;6
"ADN";17;5
"ADN";18;1
"ADP";2;31
"ADP";3;31
"ADP";4;16
"ADP";5;22
"ADP";6;11
"ADP";7;14
"ADP";8;20
"ADP";9;42
"ADP";10;75
"ADP";11;89
"ADP";12;102
"ADP";13;109
"ADP";14;137
"ADP";15;103
"ADP";16;89
"ADP";17;61
"ADP";18;44
"ADP";19;24
"ADP";20;15
"ADP";21;9
"ADP";22;2
"ADP";23;2
"ADP";24;1
"ADQ";8;2
"ADQ";17;1
"ADV";6;1
"ADV";8;1
"ADV";9;1
"ADV";11;1
"ADX";3;1
"ADX";11;1
"ADX";13;1
"ADX";15;1
"ADX";16;2
"ADX";17;1
"ADX";19;1
"AE5";11;1
"AEF";7;3
"AEP";13;1
"AER";10;1
"AES";2;1
"AES";3;1
"AES";4;1
"AES";5;2
"AES";6;2
"AES";7;2
"AES";9;1
"AES";11;1
"AES";12;1
"AES";13;1
"AF2";6;1
"AF2";9;1
"AF2";13;1
"AF3";2;5
"AF3";3;5
"AF3";4;4
"AF3";5;6
"AF3";6;8
"AF3";7;8
"AF3";8;7
"AF3";9;5
"AF7";12;1
"AFB";3;1
"AFO";3;1
"AFP";10;1
"AFS";8;1
"AFY";17;1
"AG";2;3
"AG";3;7
"AG";4;4
"AG2";3;1
"AG2";5;2
"AG2";6;1
"AG2";10;1
"AG2";11;2
"AG3";16;1
"AG7";15;1
"AG7";19;1
"AG7";20;1
"AG8";14;1
"AGH";2;2
"AGH";6;1
"AGH";25;1
"AGI";9;1
"AGL";5;1
"AGL";6;1
"AGL";7;1
"AGP";13;1
"AGS";2;15
"AGS";3;11
"AGS";4;8
"AGS";5;12
"AGS";6;7
"AGS";7;6
"AGS";8;4
"AGS";9;7
"AGS";10;10
"AGS";11;10
"AGS";12;18
"AGS";13;18
"AGS";14;14
"AGS";15;20
"AGS";16;15
"AGS";17;4
"AGS";18;9
"AGS";19;6
"AGS";20;1
"AGS";21;2
"AGS";25;1
"AH0";9;1
"AH0";12;1
"AH8";5;1
"AH8";6;1
"AH8";7;2
"AHD";10;2
"AHN";7;1
"AHN";11;1
"AHR";2;5
"AHR";3;4
"AHR";4;3
"AHR";5;4
"AHR";6;5
"AHR";7;6
"AHR";8;2
"AHR";9;1
"AHR";10;3
"AHR";11;1
"AHR";12;2
"AHZ";25;1
"AHZ";26;2
"AI9";17;1
"AIA";10;1
"AIB";8;1
"AIC";11;1
"AIR";8;1
"AIR";11;2
"AIR";12;1
"AIR";17;1
"AIS";12;1
"AIX";11;1
"AIX";13;1
"AJP";2;23
"AJP";3;24
"AJP";4;17
"AJP";5;18
"AJP";6;7
"AJP";7;2
"AJP";8;1
"AJP";9;1
"AJP";10;1
"AJP";11;1
"AJP";13;2
"AJQ";22;1
"AK8";18;1
"AKB";7;1
"AKG";2;1
"AKG";3;1
"AKG";4;2
"AKG";5;1
"AKG";6;2
"AKG";7;4
"AKG";8;8
"AKG";9;16
"AKG";10;19
"AKG";11;10
"AKG";12;21
"AKG";13;5
"AKG";14;1
"AKG";15;2
"AKM";18;1
"AKP";16;1
"AKT";16;1
"AKY";15;1
"AL";3;1
"ALA";2;6
"ALA";3;10
"ALA";4;7
"ALA";5;7
"ALA";6;3
"ALA";7;2
"ALA";8;3
"ALA";9;1
"ALA";11;1
"ALD";13;1
"ALE";3;1
"ALF";2;4
"ALF";3;1
"ALF";4;3
"ALF";5;3
"ALF";6;2
"ALF";7;14
"ALF";8;14
"ALF";9;7
"ALF";10;3
"ALF";11;2
"ALK";3;1
"ALK";4;1
"ALK";8;1
"ALL";4;1
"ALL";12;1
"ALP";11;1
"ALQ";4;1
"ALU";5;1
"ALY";6;1
"AME";13;1
"AMG";6;1
"AMG";7;1
"AMG";8;3
"AMG";9;1
"AMI";11;1
"AMI";12;3
"AMI";13;2
"AML";6;1
"AMO";24;1
"AMP";2;5
"AMP";3;7
"AMP";4;9
"AMP";5;10
"AMP";6;7
"AMP";7;10
"AMP";8;15
"AMP";9;15
"AMP";10;14
"AMP";11;32
"AMP";12;41
"AMP";13;30
"AMP";14;37
"AMP";15;30
"AMP";16;23
"AMP";17;4
"AMP";18;5
"AMP";19;2
"AMU";2;1
"AMU";4;1
"AMU";5;2
"AMU";7;1
"AMU";8;1
"AMU";9;1
"AMV";5;2
"AMZ";6;1
"AMZ";7;1
"AMZ";8;1
"AMZ";10;2
"AMZ";16;2
"AN2";10;1
"AN2";13;1
"AN2";15;3
"AN2";16;1
"AN6";20;1
"AN7";21;1
"ANB";10;1
"AND";6;1
"AND";9;1
"AND";12;1
"ANL";4;1
"ANN";10;1
"ANN";11;1
"ANP";2;10
"ANP";3;10
"ANP";4;7
"ANP";5;2
"ANP";6;5
"ANP";7;11
"ANP";8;8
"ANP";9;8
"ANP";10;23
"ANP";11;27
"ANP";12;23
"ANP";13;39
"ANP";14;36
"ANP";15;29
"ANP";16;35
"ANP";17;27
"ANP";18;30
"ANP";19;20
"ANP";20;23
"ANP";21;10
"ANP";22;9
"ANP";23;5
"ANP";24;1
"ANR";12;1
"ANR";15;1
"ANW";6;1
"ANX";4;1
"ANZ";15;1
"AO3";13;1
"AO6";12;1
"AO6";14;1
"AO6";15;1
"AOA";5;1
"AOH";12;1
"AOI";5;1
"AOQ";2;1
"AOQ";3;1
"AOT";9;1
"AOV";18;1
"AOV";19;1
"AOV";21;2
"AP2";7;1
"AP2";12;2
"AP2";19;1
"AP2";20;1
"AP3";13;1
"AP5";4;1
"AP5";25;1
"AP5";27;2
"AP5";30;5
"AP5";31;4
"AP5";32;2
"APA";12;1
"APC";2;1
"APC";6;1
"APC";7;3
"APC";8;1
"APC";9;2
"APC";10;4
"APC";11;4
"APC";12;2
"APC";13;4
"APC";14;2
"APC";16;1
"APC";17;7
"APC";18;1
"APC";20;1
"API";3;1
"API";7;1
"API";8;1
"API";9;2
"API";10;2
"API";11;1
"API";15;1
"APJ";15;1
"APO";2;1
"APO";5;1
"APR";2;1
"APR";4;2
"APR";5;1
"APR";7;1
"APR";8;2
"APR";9;2
"APR";10;2
"APR";13;1
"APR";14;2
"APR";15;1
"APR";16;1
"APR";17;4
"APR";19;6
"APR";20;6
"APR";21;4
"APR";22;2
"APR";24;2
"APU";17;1
"APX";20;1
"APY";4;1
"APY";5;1
"AQ0";15;1
"AQ4";13;1
"AQ5";14;1
"AQ9";10;1
"AQ9";11;1
"AQA";4;1
"AQA";7;1
"AQD";20;1
"AQV";3;1
"AQV";8;1
"AR6";2;1
"AR6";14;1
"AR6";17;1
"AR6";18;1
"AR6";19;3
"AR6";20;2
"AR6";21;3
"AR6";22;2
"AR6";23;2
"ARA";2;1
"ARA";3;1
"ARA";4;1
"ARA";5;1
"ARA";6;2
"ARA";8;2
"ARA";9;2
"ARA";11;2
"ARA";12;1
"ARB";10;1
"ARB";11;2
"ARE";3;1
"ARE";15;1
"ARF";2;6
"ARF";3;6
"ARF";4;4
"ARF";5;3
"ARF";6;1
"ARF";7;2
"ARF";8;1
"ARG";2;4
"ARG";3;5
"ARG";4;6
"ARG";5;3
"ARG";6;3
"ARG";7;7
"ARG";8;6
"ARG";9;8
"ARG";10;6
"ARG";11;6
"ARG";12;5
"ARG";13;6
"ARG";14;7
"ARG";15;2
"ARG";16;1
"ARS";3;1
"ART";2;1
"ART";6;1
"ART";7;1
"AS1";2;3
"AS1";5;1
"AS1";7;1
"AS1";8;1
"AS9";15;1
"ASC";2;1
"ASC";6;2
"ASC";9;2
"ASC";10;1
"ASC";11;2
"ASD";10;1
"ASD";13;1
"ASD";17;1
"ASE";10;1
"ASG";3;3
"ASG";4;2
"ASG";5;3
"ASG";6;2
"ASG";8;1
"ASG";13;1
"ASG";14;1
"ASN";2;1
"ASN";6;1
"ASN";7;1
"ASN";8;1
"ASN";9;1
"ASN";10;1
"ASN";11;2
"ASN";12;2
"ASN";13;1
"ASN";14;1
"ASO";5;1
"ASO";6;1
"ASO";11;1
"ASO";12;1
"ASP";2;4
"ASP";3;2
"ASP";4;1
"ASP";5;6
"ASP";6;1
"ASP";7;2
"ASP";8;6
"ASP";9;4
"ASP";10;4
"ASP";11;7
"ASP";12;2
"ASP";13;1
"ASP";14;5
"ASP";16;1
"ASY";3;1
"ASY";12;1
"AT2";13;1
"AT4";9;1
"AT4";12;1
"AT5";2;1
"AT5";4;1
"AT5";6;1
"ATA";14;1
"ATF";2;1
"ATF";16;1
"ATP";2;56
"ATP";3;21
"ATP";4;27
"ATP";5;22
"ATP";6;20
"ATP";7;30
"ATP";8;27
"ATP";9;28
"ATP";10;39
"ATP";11;47
"ATP";12;73
"ATP";13;60
"ATP";14;52
"ATP";15;63
"ATP";16;63
"ATP";17;59
"ATP";18;38
"ATP";19;35
"ATP";20;28
"ATP";21;14
"ATP";22;5
"ATP";23;1
"ATP";26;1
"ATR";9;1
"ATR";11;1
"ATR";13;1
"ATR";14;3
"ATR";15;1
"ATY";3;1
"AU";2;1
"AU1";10;1
"AUI";13;1
"AV0";2;1
"AV0";3;3
"AV0";4;1
"AV0";5;1
"AV0";6;3
"AV0";7;1
"AV0";8;1
"AV0";10;1
"AV0";15;1
"AV0";24;1
"AV0";28;1
"AV2";11;1
"AVG";7;1
"AVJ";8;1
"AVJ";11;1
"AVW";13;1
"AW1";19;1
"AWU";18;1
"AWU";19;1
"AX9";2;2
"AX9";9;1
"AX9";13;1
"AXL";12;1
"AXP";11;1
"AXR";4;2
"AXT";7;1
"AXT";8;1
"AXT";18;1
"AXT";20;1
"AXT";21;1
"AXX";10;1
"AY6";16;1
"AY7";18;1
"AY9";7;1
"AY9";11;1
"AYE";4;1
"AYE";5;3
"AYE";6;4
"AYE";7;4
"AYE";8;1
"AYU";16;1
"AYU";17;1
"AZ1";3;1
"AZ1";8;1
"AZ8";11;1
"AZA";4;1
"AZA";5;2
"AZA";7;1
"AZA";8;1
"AZB";9;1
"AZI";2;19
"AZI";3;22
"AZI";4;7
"AZI";5;4
"AZI";6;7
"AZI";7;6
"AZI";9;1
"AZJ";15;1
"AZM";3;2
"AZM";10;6
"AZM";11;1
"AZN";6;1
"AZR";2;1
"AZR";13;1
"AZR";16;1
"AZX";12;1
"B12";2;3
"B12";3;2
"B12";4;1
"B12";8;2
"B12";9;2
"B12";12;1
"B12";13;2
"B12";15;1
"B12";16;1
"B12";18;3
"B12";20;1
"B12";21;1
"B12";22;2
"B12";23;2
"B12";25;2
"B12";26;1
"B12";27;2
"B12";28;1
"B12";32;2
"B12";33;1
"B12";34;1
"B12";35;2
"B12";36;1
"B12";37;2
"B12";38;1
"B12";39;1
"B12";40;1
"B12";42;1
"B13";7;1
"B13";23;1
"B1M";24;1
"B1R";20;1
"B1S";12;1
"B26";18;1
"B29";2;1
"B29";7;1
"B29";8;1
"B29";13;1
"B29";17;1
"B2O";17;1
"B2P";10;1
"B2S";10;1
"B33";6;1
"B39";19;1
"B3N";14;1
"B41";11;1
"B43";13;1
"B44";2;1
"B44";11;1
"B45";16;1
"B49";13;1
"B49";14;1
"B4J";16;1
"B4P";4;1
"B4P";15;1
"B4P";17;1
"B4P";18;1
"B4P";20;1
"B4P";22;1
"B4P";23;1
"B4P";25;1
"B4P";27;1
"B4P";28;1
"B4S";10;1
"B55";2;1
"B55";7;1
"B57";10;1
"B5N";15;1
"B5V";17;1
"B65";9;1
"B6D";2;1
"B6D";7;1
"B6E";21;1
"B6G";20;1
"B6K";7;1
"B73";3;1
"B73";14;1
"B79";14;1
"B7N";30;1
"B7N";34;1
"B7O";7;1
"B7Z";12;1
"B82";14;1
"B85";10;2
"B8E";5;1
"B96";19;1
"B97";13;2
"B9D";11;1
"B9D";12;1
"B9L";11;1
"BAL";4;1
"BAL";7;1
"BAQ";6;1
"BAT";12;1
"BAT";13;3
"BAT";15;1
"BAT";21;1
"BAU";14;1
"BB2";2;1
"BB2";3;1
"BB2";4;1
"BB2";9;1
"BB2";14;1
"BB2";15;2
"BB2";16;2
"BB2";17;4
"BB2";19;1
"BB2";20;1
"BBI";13;1
"BC0";6;1
"BC1";15;1
"BC9";13;1
"BCA";3;1
"BCA";20;1
"BCB";6;2
"BCB";7;5
"BCB";8;1
"BCB";20;1
"BCB";23;1
"BCG";4;1
"BCG";5;1
"BCL";2;30
"BCL";3;19
"BCL";4;26
"BCL";5;37
"BCL";6;45
"BCL";7;21
"BCL";8;18
"BCL";9;8
"BCL";10;10
"BCL";11;4
"BCL";12;8
"BCL";13;2
"BCL";14;5
"BCL";15;3
"BCL";16;6
"BCL";17;6
"BCL";18;6
"BCL";19;9
"BCL";20;3
"BCL";21;5
"BCL";22;2
"BCL";23;2
"BCL";26;1
"BCO";9;1
"BCO";23;1
"BCR";2;1
"BCR";3;1
"BCR";4;3
"BCR";6;1
"BCT";2;7
"BCT";3;23
"BCT";4;11
"BCT";5;15
"BCT";6;13
"BCT";7;4
"BCT";8;8
"BCT";9;2
"BD1";12;1
"BDD";11;2
"BDD";12;1
"BDF";2;1
"BDF";3;1
"BDF";4;2
"BDF";5;4
"BDF";6;2
"BDF";7;1
"BDF";8;1
"BDG";5;1
"BDP";2;6
"BDP";3;4
"BDP";4;5
"BDP";5;2
"BDP";6;1
"BDP";7;1
"BDP";8;1
"BDP";10;1
"BDP";11;3
"BDP";12;4
"BDP";13;3
"BDP";14;2
"BDR";11;1
"BDR";12;1
"BE2";3;1
"BE2";7;1
"BE2";8;1
"BE2";9;2
"BE2";11;1
"BEF";2;8
"BEF";3;5
"BEF";4;11
"BEF";5;12
"BEF";6;31
"BEF";7;13
"BEF";8;7
"BEF";9;6
"BEM";2;1
"BEM";3;1
"BEM";4;3
"BEM";5;8
"BEM";6;6
"BEM";7;4
"BEM";8;1
"BEM";9;3
"BEM";10;3
"BEM";11;1
"BEN";2;2
"BEN";5;2
"BEN";6;1
"BEN";7;1
"BEN";11;3
"BEN";12;1
"BEO";5;1
"BER";10;1
"BES";2;1
"BES";13;1
"BES";14;1
"BES";15;2
"BES";16;1
"BEZ";5;1
"BEZ";8;1
"BEZ";9;1
"BEZ";10;1
"BF0";15;1
"BF2";2;3
"BF8";12;1
"BFB";9;1
"BFB";13;1
"BFN";12;1
"BFQ";12;1
"BFS";18;1
"BG3";10;1
"BG5";11;1
"BG6";2;1
"BG6";9;2
"BG6";10;1
"BG6";11;5
"BG6";12;2
"BG6";14;1
"BG9";4;1
"BGC";2;132
"BGC";3;119
"BGC";4;108
"BGC";5;98
"BGC";6;106
"BGC";7;60
"BGC";8;48
"BGC";9;24
"BGC";10;18
"BGC";11;16
"BGC";12;15
"BGC";13;15
"BGC";14;5
"BGC";17;1
"BGP";14;1
"BHF";7;1
"BHF";9;2
"BHF";11;1
"BHF";13;1
"BHF";14;1
"BHF";16;1
"BHJ";15;1
"BHO";9;1
"BHO";13;1
"BI8";16;1
"BIB";2;1
"BIB";4;1
"BIG";2;1
"BIG";15;1
"BIH";4;1
"BIO";4;1
"BIO";8;1
"BIO";9;2
"BIR";17;1
"BIX";17;1
"BJ5";12;1
"BJ6";6;1
"BJ8";15;1
"BJL";10;1
"BJR";7;1
"BJR";9;1
"BJX";4;1
"BJX";11;1
"BJX";12;1
"BKC";21;1
"BKJ";15;1
"BKN";4;1
"BKN";5;1
"BKO";14;1
"BKP";17;1
"BLA";2;2
"BLA";3;2
"BLA";5;3
"BLA";7;1
"BLA";8;1
"BLA";12;3
"BLA";13;2
"BLA";15;1
"BLA";16;2
"BLA";17;2
"BLA";18;2
"BLA";19;3
"BLA";20;2
"BLA";21;1
"BLA";22;2
"BLA";23;3
"BLA";24;2
"BLA";25;1
"BLD";4;1
"BLD";10;1
"BLD";13;1
"BLG";15;1
"BLG";16;1
"BLG";17;1
"BLJ";3;1
"BLJ";4;1
